,0
44,"u'RT @ChrisShearnYES: Ian Eagle is my guest on another BRAND new episode of And We\u2019re Off! #Subscribe #Rate #Comment #NBA #LeBron #Jordan htt\u2026', "
45,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
46,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
47,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
48,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
49,"u'RT @Navigate_Res: With Lebron going to the west coast, east coast fans will now be less productive at work.  Navigate estimates there will\u2026', "
50,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
51,"u""RT @KenKillings: I'm bored, so here's a thread of Lebron James flopping like only he can. \U0001f602\U0001f602\U0001f602 #thread #Lebron #KingJames #Leflop https://t.\u2026"", "
52,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
53,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
54,"u""RT @simon_villanoz: Check out my latest article, easily one of the best I've ever written. Rts are very appreciated #politics #sports #trum\u2026"", "
55,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
56,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
57,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
58,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
59,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
60,"u'RT @PaceOfSportsTks: How to fix the Toronto Raptors?\nhttps://t.co/sCcBocttj1\n\n#NBA #NBAFinals #NBAPlayoffs #nbaPlayoffs2018\n#NBADraft #NBAC\u2026', "
61,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
62,"u'\u2600\U0001f451 Listento Ep.606 Should #Lebron PANIC in #Lakernation by The SunKing J Podcast #np on #SoundCloud\u2026 https://t.co/Cp82s3CvdS', "
63,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
64,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
65,"u'RT @Prime_Chase: The artist fixed the mural! And even erased the ""Of"" for those people who thought is was disrespect to Kobe even tho Kobe\'\u2026', "
66,"u""RT @KenKillings: I'm bored, so here's a thread of Lebron James flopping like only he can. \U0001f602\U0001f602\U0001f602 #thread #Lebron #KingJames #Leflop https://t.\u2026"", "
67,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
68,"u'RT @gettothecorner: WEL\xc7OME\xa9\ufe0f: ELBOW N THE RIM\n@mrvincecarter15 #vincecarter #raptors #slamdunkcontest #quai54 #jumpman #jordanclassic #pro\u2026', "
69,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
70,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
71,"u""RT @KenKillings: I'm bored, so here's a thread of Lebron James flopping like only he can. \U0001f602\U0001f602\U0001f602 #thread #Lebron #KingJames #Leflop https://t.\u2026"", "
72,"u'WEL\xc7OME\xa9\ufe0f: ELBOW N THE RIM\n@mrvincecarter15 #vincecarter #raptors #slamdunkcontest #quai54 #jumpman #jordanclassic\u2026 https://t.co/z0MLvh1f3N', "
73,"u'RT @InThePaintNews: DeMarcus Cousins and John Wall enjoying the courtside life. #InThePaintNews\n-\n\U0001f4f9: NBA on TNT\n-\n#nba #nbanews #nbahighlig\u2026', "
74,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
75,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
76,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
77,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
78,"u'#NBASummer #NBAFreeAgency #LeBron #Lakers #Warriors the problem with all of the talent in the NBA being in the West\u2026 https://t.co/wQPG0CMXUU', "
79,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
80,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
81,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
82,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
83,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
84,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
85,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
86,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
87,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
88,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
89,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
90,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
91,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
92,"u'Who knew #lebron was talking about possible NBA Finals losses https://t.co/kVVyTmBtbo', "
93,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
94,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
95,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
96,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
97,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
98,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
99,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
100,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
101,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
102,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
103,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
104,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
105,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
106,"u'All #Lebron haters in LA will be riding his coat tails to @NBA finals for the next 5+ years while pretending like they wanted him all along', "
107,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
108,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
109,"u'Omg L.A. folks! THIS IS NOT A DRILL! I repeat... THIS. IS. NOT. A. DRILL! Save the date! \U0001f355 \U0001f355 \U0001f355 #BlazePizza #LeBron\u2026 https://t.co/GvfgXtz47q', "
110,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
111,"u""Check out my latest article, easily one of the best I've ever written. Rts are very appreciated #politics #sports\u2026 https://t.co/eAhaiegdtb"", "
112,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
113,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
114,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
115,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
116,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
117,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
118,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
119,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
120,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
121,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
122,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
123,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
124,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
125,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
126,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
127,"u'@undisputed @ShannonSharpe In #LA Kobe is King, #Lebron has to win a title. Every @NBA Superstar who donned the\u2026 https://t.co/xTptPpAB7B', "
128,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
129,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
130,"u'Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision! I had no litmus-test for candidates\u2026 https://t.co/hZ8B7OjTcI', "
131,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
132,"u""RT @SportsEntMS: You can blame #VideoGames but the most important part of a #Sports video isn't the athlete but the #Music and #SoundDesign\u2026"", "
133,"u'Lebron/James Harden MVP Rant \U0001f62d\U0001f62d\U0001f62d#lebron #daquan #nbamemes #warriors #rockets #jamesharden #cute #instamood #nba\u2026 https://t.co/dlVnIXC0By', "
134,"u'LeBron is taking his talents West but can he bring a Championship to Los Angeles? Let us know if you think he will,\u2026 https://t.co/d4SXSfGcZZ', "
135,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
136,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
137,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
138,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
139,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
140,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
141,"u'Time to put this to rest. #LeBron will never be the greatest Laker. Why? Because he is a Cavalier/Heat. Until he wi\u2026 https://t.co/7vFouwH9Tn', "
142,"u'RT @michaeleaves: #Kobe fans: Why are you so set against #LeBron being the King of LA. Tweet me here or call @WillCainShow at 888-729-3776\u2026', "
143,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
144,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
145,"u'Holy shit. The Warriors just snagged #Lebron out of the Lakers? How?! This is insane! It\u2019s also untrue but still! M\u2026 https://t.co/8Jw9mnnPh6', "
146,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
147,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
148,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
149,"u'Who else thinks it\u2019s weird that Lebron has been at the top of the trends list ever since he\u2019s been traded to the La\u2026 https://t.co/QtxdwnhBMh', "
150,"u'@FredNBCLA let your partner know that #LeBron has taken the most trash teams to the #FINALS too\n\n#KINGOFLA', "
151,"u'Ian Eagle is my guest on another BRAND new episode of And We\u2019re Off! #Subscribe #Rate #Comment #NBA #LeBron #Jordan https://t.co/MTZ7QvID9s', "
152,"u'This is the moment the #NBA was ruined.  Hard to win 8 in Miami if you leave after 4 years.  If #LeBron was talking\u2026 https://t.co/9nrlsBjidG', "
153,"u'RT @putyouongam3: Fact!!!!\U0001f926\U0001f3fd\u200d\u2642\ufe0f\U0001f629 \nLbj fans are ridiculous \n#nba #basketball #sport #lebron #facts https://t.co/OA49OnBKdC', "
154,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
155,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
156,"u'RT @AndrewConnmedy: I had to do it @KingJames !!!!! I had too!!!!! @ZO2_ @bigballerbrand @espn @WORLDSTAR @Lavarbigballer @Lakers @turfcome\u2026', "
157,"u'RT @Navigate_Res: With Lebron going to the west coast, east coast fans will now be less productive at work.  Navigate estimates there will\u2026', "
158,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
159,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
160,"u'If you\u2019re a #Drake and/or #Lebron fan you got thick skin', "
161,"u'RT @UCSportsMedia: We have a lead on who defaced the new #Lebron mural \U0001f440 \n\n#Lakers https://t.co/sHor1zvRds', "
162,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
163,"u""RT @Schultz_Report: Source close to Carmelo Anthony says the #Lakers are one of Melo\u2019s preferred destinations, and that he's high on chance\u2026"", "
164,"u'Fact!!!!\U0001f926\U0001f3fd\u200d\u2642\ufe0f\U0001f629 \nLbj fans are ridiculous \n#nba #basketball #sport #lebron #facts https://t.co/OA49OnBKdC', "
165,"u'Dang - I posted this about #LeBron back in 2010... and now he\u2019s a #LosAngeles #Laker. #expectations #cityof16titles\u2026 https://t.co/U2pKm4SeAB', "
166,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
167,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
168,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
169,"u'Stay healthy @KingJames.\n\n#Cavs will have enough cap space for 3 max contracts in 2021 for the 2nd Homecoming.\u2026 https://t.co/tqghQuQtGF', "
170,"u""#NBA #Cavs #LeBron #MondayMotivation #MozCon #MusicMonday #Sports \n\nWhy The Cavaliers shouldn't Trade Kyle... https://t.co/xC8Et4zEAU"", "
171,"u""You can blame #VideoGames but the most important part of a #Sports video isn't the athlete but the #Music and\u2026 https://t.co/xkXn9YVLKl"", "
172,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
173,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
174,"u'Lakers colors going to be hot this year! \n#Lebron https://t.co/Fo16Remr3X', "
175,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
176,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
177,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
178,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
179,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
180,"u'RT @Trumptweets2020: Hyping tonight\u2019s #SupremeCourt nomination more than #LeBron\u2019s #Lakers decision!\nI had no litmus-test for candidates, j\u2026', "
